timestamp,policy,proto,src,dst,src_port,dst_port,path
1778549897.0942843,RL,tcp,10.0.0.3,10.0.0.7,42264,5043,low_delay
1778549897.0969467,RL,tcp,10.0.0.3,10.0.0.8,47558,5041,high_bw
1778549897.0985742,RL,tcp,10.0.0.5,10.0.0.4,56834,5046,balanced
1778549897.1285422,RL,tcp,10.0.0.3,10.0.0.7,48754,5047,high_bw
1778549897.1411948,RL,tcp,10.0.0.8,10.0.0.2,36598,5048,balanced
1778549897.1470985,RL,tcp,10.0.0.3,10.0.0.7,40272,5049,low_delay
1778549897.158777,RL,tcp,10.0.0.8,10.0.0.1,41202,5050,high_bw
1778549897.1796017,RL,tcp,10.0.0.1,10.0.0.6,37552,5051,balanced
1778549897.2002687,RL,tcp,10.0.0.8,10.0.0.4,53268,5052,high_bw
1778549897.2260036,RL,tcp,10.0.0.6,10.0.0.2,37226,5054,balanced
1778549897.230513,RL,tcp,10.0.0.2,10.0.0.5,34082,5053,low_delay
1778549897.240502,RL,tcp,10.0.0.1,10.0.0.6,48864,5055,high_bw
1778549897.2982042,RL,tcp,10.0.0.8,10.0.0.4,54206,5056,balanced
1778549897.3105927,RL,tcp,10.0.0.3,10.0.0.6,45460,5057,high_bw
1778549897.312563,RL,tcp,10.0.0.8,10.0.0.1,37140,5058,balanced
1778549897.3324134,RL,tcp,10.0.0.3,10.0.0.6,33296,5059,low_delay
1778549897.3343458,RL,tcp,10.0.0.2,10.0.0.7,43814,5061,high_bw
1778549897.3364813,RL,tcp,10.0.0.6,10.0.0.3,59446,5062,balanced
1778549897.3503437,RL,tcp,10.0.0.5,10.0.0.2,43594,5060,high_bw
1778549897.3675246,RL,tcp,10.0.0.4,10.0.0.5,41192,5063,balanced
1778549897.4066184,RL,tcp,10.0.0.6,10.0.0.4,55162,5064,low_delay
1778549897.4292848,RL,tcp,10.0.0.1,10.0.0.6,43792,5065,high_bw
1778549897.4298131,RL,tcp,10.0.0.7,10.0.0.3,33102,5066,balanced
1778549897.4636312,RL,tcp,10.0.0.2,10.0.0.7,42700,5067,high_bw
1778549897.465429,RL,tcp,10.0.0.8,10.0.0.1,45396,5068,balanced
1778549897.472458,RL,tcp,10.0.0.6,10.0.0.1,50412,5070,low_delay
1778549897.4853098,RL,tcp,10.0.0.2,10.0.0.5,59706,5069,high_bw
1778549897.4858592,RL,tcp,10.0.0.4,10.0.0.6,51390,5071,balanced
1778549897.498426,RL,tcp,10.0.0.3,10.0.0.6,46772,5073,high_bw
1778549897.5049949,RL,tcp,10.0.0.8,10.0.0.4,58460,5072,balanced
1778549897.519334,RL,tcp,10.0.0.7,10.0.0.2,57828,5074,high_bw
1778549897.5702174,RL,tcp,10.0.0.3,10.0.0.7,38938,5075,low_delay
1778549897.578545,RL,tcp,10.0.0.6,10.0.0.4,43464,5076,high_bw
1778549897.5956397,RL,tcp,10.0.0.3,10.0.0.7,41522,5079,balanced
1778549897.6007495,RL,tcp,10.0.0.5,10.0.0.4,55718,5078,high_bw
1778549897.6031432,RL,tcp,10.0.0.6,10.0.0.1,57000,5080,low_delay
1778549897.6052516,RL,tcp,10.0.0.2,10.0.0.5,36228,5077,balanced
1778549897.6543968,RL,tcp,10.0.0.1,10.0.0.5,40750,5081,high_bw
1778549897.6687987,RL,tcp,10.0.0.8,10.0.0.4,39316,5082,balanced
1778549897.7159636,RL,tcp,10.0.0.4,10.0.0.6,56130,5083,low_delay
1778549897.7294674,RL,tcp,10.0.0.8,10.0.0.1,44166,5084,balanced
