episode,total_reward
931,-240
932,-347
933,-327
934,-362
935,-469
936,-325
937,-353
938,-455
939,-332
940,-349
941,-393
942,-371
943,-390
944,-456
945,-190
946,-356
947,-412
948,-160
949,-381
950,-436
951,-469
952,-451
953,-344
954,-316
955,-392
956,-442
957,-319
958,-315
959,-334
960,-514
961,-349
962,-355
963,-453
964,-300
965,-331
966,-407
967,-257
968,-375
969,-408
970,-353
971,-409
972,-347
973,-284
974,-287
975,-321
976,-409
977,-377
978,-372
979,-331
980,-304
981,-435
982,-356
983,-394
984,-374
985,-379
986,-333
987,-414
988,-387
989,-318
990,-381
991,-340
992,-286
993,-475
994,-394
995,-332
996,-366
997,-516
998,-403
999,-489
