timestamp,policy,proto,src,dst,src_port,dst_port,path
1778550709.5615213,RL,tcp,10.0.0.8,10.0.0.3,45540,5086,upper
1778550709.5703626,RL,tcp,10.0.0.7,10.0.0.4,41984,5088,lower
1778550709.6017842,RL,tcp,10.0.0.3,10.0.0.8,38414,5089,upper
1778550709.6233087,RL,tcp,10.0.0.4,10.0.0.7,43444,5091,lower
1778550709.6512036,RL,tcp,10.0.0.1,10.0.0.7,41318,5093,upper
1778550709.6528182,RL,tcp,10.0.0.4,10.0.0.8,38898,5095,lower
1778550709.655216,RL,tcp,10.0.0.7,10.0.0.4,33710,5098,upper
1778550709.6571383,RL,tcp,10.0.0.6,10.0.0.1,35302,5096,lower
1778550709.6589081,RL,tcp,10.0.0.6,10.0.0.4,53602,5090,upper
1778550709.660899,RL,tcp,10.0.0.5,10.0.0.1,57530,5094,upper
1778550709.6628761,RL,tcp,10.0.0.2,10.0.0.7,34354,5097,lower
1778550709.6758795,RL,tcp,10.0.0.8,10.0.0.3,41998,5092,upper
1778550709.6766038,RL,tcp,10.0.0.2,10.0.0.8,39248,5099,lower
1778550709.6911004,RL,tcp,10.0.0.2,10.0.0.8,34328,5101,upper
1778550709.7034037,RL,tcp,10.0.0.5,10.0.0.4,44190,5100,lower
1778550709.7161014,RL,tcp,10.0.0.4,10.0.0.6,53706,5103,upper
1778550709.7195485,RL,tcp,10.0.0.6,10.0.0.2,35352,5104,lower
1778550709.7205505,RL,tcp,10.0.0.2,10.0.0.6,42196,5105,upper
1778550709.7278762,RL,tcp,10.0.0.8,10.0.0.3,34816,5102,lower
1778550709.768951,RL,tcp,10.0.0.5,10.0.0.2,46748,5106,upper
1778550709.79534,RL,tcp,10.0.0.1,10.0.0.6,38956,5107,lower
1778550709.8040223,RL,tcp,10.0.0.1,10.0.0.5,44966,5109,upper
1778550709.8051708,RL,tcp,10.0.0.5,10.0.0.1,59234,5108,lower
1778550709.8136833,RL,tcp,10.0.0.1,10.0.0.6,41288,5111,upper
1778550709.8397963,RL,tcp,10.0.0.8,10.0.0.3,50918,5112,upper
1778550709.8409922,RL,tcp,10.0.0.8,10.0.0.3,45174,5110,lower
1778550709.8733659,RL,tcp,10.0.0.3,10.0.0.5,46468,5113,upper
1778550709.8780577,RL,tcp,10.0.0.2,10.0.0.7,44736,5117,lower
1778550709.881316,RL,tcp,10.0.0.7,10.0.0.2,52730,5118,upper
1778550709.8820276,RL,tcp,10.0.0.5,10.0.0.3,59618,5116,lower
1778550709.8828757,RL,tcp,10.0.0.4,10.0.0.6,37028,5121,upper
1778550709.8913212,RL,tcp,10.0.0.6,10.0.0.1,37730,5120,lower
1778550709.9002316,RL,tcp,10.0.0.8,10.0.0.1,35908,5114,upper
1778550709.9018168,RL,tcp,10.0.0.1,10.0.0.8,44974,5115,lower
1778550709.9037435,RL,tcp,10.0.0.3,10.0.0.8,40544,5119,upper
1778550709.9060454,RL,tcp,10.0.0.7,10.0.0.4,43240,5122,lower
1778550709.9387712,RL,tcp,10.0.0.2,10.0.0.6,38482,5123,upper
1778550709.9659226,RL,tcp,10.0.0.6,10.0.0.4,36276,5124,lower
1778550709.9716964,RL,tcp,10.0.0.1,10.0.0.6,40258,5125,upper
1778550709.9787498,RL,tcp,10.0.0.5,10.0.0.4,41586,5126,upper
1778550709.9964435,RL,tcp,10.0.0.3,10.0.0.6,57704,5127,lower
1778550710.0018477,RL,tcp,10.0.0.8,10.0.0.4,33226,5128,upper
1778550710.049137,RL,tcp,10.0.0.4,10.0.0.7,36228,5129,lower
1778550710.0636,RL,tcp,10.0.0.2,10.0.0.6,54244,5131,upper
1778550710.067737,RL,tcp,10.0.0.8,10.0.0.4,60626,5130,upper
1778550710.073037,RL,tcp,10.0.0.8,10.0.0.4,35922,5132,lower
1778550710.078032,RL,tcp,10.0.0.4,10.0.0.6,50908,5133,upper
1778550710.0825446,RL,tcp,10.0.0.6,10.0.0.4,38112,5134,lower
1778550710.0860455,RL,tcp,10.0.0.2,10.0.0.5,48896,5135,upper
1778550710.0913465,RL,tcp,10.0.0.6,10.0.0.1,41774,5136,lower
1778550710.1197686,RL,tcp,10.0.0.5,10.0.0.1,34864,5140,upper
1778550710.123828,RL,tcp,10.0.0.1,10.0.0.6,45622,5137,lower
1778550710.1343963,RL,tcp,10.0.0.5,10.0.0.2,36882,5138,upper
1778550710.135387,RL,tcp,10.0.0.2,10.0.0.6,50576,5139,lower
1778550710.1694057,RL,tcp,10.0.0.1,10.0.0.7,51898,5141,upper
1778550710.2190607,RL,tcp,10.0.0.6,10.0.0.4,56670,5142,upper
1778550710.2313826,RL,tcp,10.0.0.3,10.0.0.5,35990,5147,lower
1778550710.2452748,RL,tcp,10.0.0.4,10.0.0.5,56818,5143,upper
1778550710.2548916,RL,tcp,10.0.0.2,10.0.0.5,50112,5145,lower
1778550710.2583814,RL,tcp,10.0.0.5,10.0.0.1,34688,5146,upper
1778550710.2591083,RL,tcp,10.0.0.3,10.0.0.7,41152,5149,upper
1778550710.2642894,RL,tcp,10.0.0.6,10.0.0.4,56530,5148,lower
1778550710.2648897,RL,tcp,10.0.0.5,10.0.0.2,43658,5144,upper
1778550710.2720573,RL,tcp,10.0.0.7,10.0.0.2,55418,5150,lower
