timestamp,policy,proto,src,dst,src_port,dst_port,path
1778546239.7808082,FIFO,tcp,10.0.0.1,10.0.0.5,38662,5085,lower
1778546239.7817547,FIFO,tcp,10.0.0.1,10.0.0.7,45042,5087,upper
1778546239.8264382,FIFO,tcp,10.0.0.3,10.0.0.8,43118,5089,lower
1778546239.8316963,FIFO,tcp,10.0.0.7,10.0.0.4,39314,5088,upper
1778546239.8828657,FIFO,tcp,10.0.0.4,10.0.0.7,48140,5091,lower
1778546239.8850646,FIFO,tcp,10.0.0.6,10.0.0.4,41992,5090,upper
1778546239.8967984,FIFO,tcp,10.0.0.5,10.0.0.1,49966,5094,lower
1778546239.9000156,FIFO,tcp,10.0.0.8,10.0.0.3,51596,5092,upper
1778546239.9004676,FIFO,tcp,10.0.0.2,10.0.0.7,54008,5097,lower
1778546239.9111853,FIFO,tcp,10.0.0.1,10.0.0.7,50230,5093,upper
1778546239.9136937,FIFO,tcp,10.0.0.7,10.0.0.4,54142,5098,lower
1778546239.9161656,FIFO,tcp,10.0.0.6,10.0.0.1,55650,5096,upper
1778546239.917503,FIFO,tcp,10.0.0.2,10.0.0.8,42464,5099,lower
1778546239.9197059,FIFO,tcp,10.0.0.4,10.0.0.8,37148,5095,upper
1778546239.9381683,FIFO,tcp,10.0.0.5,10.0.0.4,40396,5100,lower
1778546239.9423363,FIFO,tcp,10.0.0.2,10.0.0.8,34352,5101,upper
1778546239.9449053,FIFO,tcp,10.0.0.8,10.0.0.3,55706,5102,lower
1778546239.9649675,FIFO,tcp,10.0.0.4,10.0.0.6,49222,5103,upper
1778546239.9654465,FIFO,tcp,10.0.0.2,10.0.0.6,58338,5105,lower
1778546239.9688919,FIFO,tcp,10.0.0.6,10.0.0.2,53054,5104,upper
1778546240.0233982,FIFO,tcp,10.0.0.5,10.0.0.2,47214,5106,lower
1778546240.0353184,FIFO,tcp,10.0.0.1,10.0.0.6,59848,5107,upper
