timestamp,num_switches,num_flows,feature_extract_ms,inference_ms,rule_install_ms,total_overhead_ms
1777838661.1854436,23,25,0.219,0.003,0.438,116.049
1777838662.1948166,23,25,0.124,0.003,0.436,111.326
1777838663.2199647,23,25,0.08,0.002,0.415,117.93
1777838664.2421088,23,25,0.079,0.002,0.413,120.859
1777838665.249231,23,25,0.081,0.002,0.674,116.243
1777838666.2535126,23,25,0.084,0.002,0.595,112.305
1777838667.2652493,23,25,0.067,0.002,0.664,113.022
1777838668.2750595,23,25,0.066,0.002,0.52,112.872
1777838669.2818608,23,25,0.069,0.003,0.418,110.596
1777838670.3025303,23,25,0.181,0.003,0.542,119.045
1777838671.3113966,23,25,0.069,0.002,0.401,119.569
1777838672.3219097,23,25,0.093,0.003,0.979,114.519
1777838673.3371441,23,25,0.065,0.002,0.521,113.913
1777838674.3500235,23,25,0.068,0.002,0.412,111.93
1777838675.3614018,23,25,0.055,0.001,0.415,115.484
1777838676.367083,23,25,0.057,0.002,0.642,110.631
1777838677.3785338,23,25,0.07,0.002,0.411,109.475
1777838678.3928168,23,25,0.09,0.003,0.467,113.054
1777838679.403817,23,5,0.06,0.003,0.142,111.092
1777838680.4198437,23,5,0.038,0.002,0.294,112.341
1777838681.4304235,23,5,0.03,0.001,0.129,112.042
1777838682.439528,23,5,0.03,0.001,0.131,112.74
1777838683.4564815,23,5,0.04,0.002,0.15,110.988
1777838684.467296,23,25,0.052,0.002,0.529,109.838
1777838685.489231,23,25,0.089,0.003,0.582,120.484
1777838686.4988377,23,25,0.077,0.002,0.528,111.294
1777838687.5097115,23,25,0.063,0.002,0.521,112.159
1777838688.526402,23,25,0.07,0.002,0.411,117.199
1777838689.5337787,23,25,0.102,0.003,0.483,111.216
1777838690.5425546,23,25,0.078,0.002,0.607,111.981
1777838691.5552351,23,25,0.314,0.003,0.458,113.25
1777838692.5662997,23,25,0.07,0.001,0.536,112.448
1777838693.5789123,23,25,0.066,0.002,0.542,111.157
1777838694.598483,23,5,0.046,0.002,0.121,114.011
1777838695.6151738,23,5,0.045,0.003,0.154,113.945
1777838696.6222572,23,5,0.027,0.002,0.131,111.966
1777838697.62925,23,5,0.026,0.001,0.252,108.739
1777838698.6371677,23,5,0.026,0.001,0.246,108.537
1777838699.6502204,23,25,0.041,0.002,0.51,111.917
1777838700.6560075,23,25,0.082,0.002,0.439,109.43
1777838701.6741333,23,25,0.071,0.002,0.658,113.024
1777838702.6871164,23,25,0.071,0.002,0.433,109.119
1777838703.6965158,23,25,0.151,0.002,0.427,109.491
1777838704.7060525,23,25,0.061,0.002,0.41,109.485
